epoch,hidden_channels,out_channels,num_layers,num_epoch,patience,lr,weight_decay,conv_type,eps,gamma,step_size,aggr,end,num_head,dropout,p,factor,eta_min,T_max,lr_scheduler,optimizer,type_model,scaler,dim_reduction,pca_threshold,train_loss,train_acc,train_f1,train_balanced_acc,val_loss,val_acc,val_precision,val_recall,val_f1,val_balanced_acc
16,32,,2,1000,50,0.001,0.0005,Transformer,,,,mean,False,3.0,0.0,5.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.6589, grad_fn=<NllLossBackward0>)",0.7901772655473001,0.8712323848846603,0.7963910965164981,tensor(0.6599),0.8023255813953488,0.9742451154529308,0.8017052375152254,0.8795937458238674,0.8048261286913876
17,32,,2,1000,50,0.001,0.0005,Transformer,,,,mean,False,3.0,0.0,5.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.6540, grad_fn=<NllLossBackward0>)",0.7970221728192828,0.8759719019786584,0.7996730197377384,tensor(0.6551),0.806494076349276,0.9746686303387334,0.8060901339829476,0.8824,0.8081223296846305
18,32,,2,1000,50,0.001,0.0005,Transformer,,,,mean,False,3.0,0.0,5.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.6486, grad_fn=<NllLossBackward0>)",0.8015269408529807,0.8790660368951074,0.8019152163174843,tensor(0.6499),0.8102237823606845,0.9750733137829912,0.8099878197320342,0.884896872920825,0.8111749253185557
19,32,,2,1000,50,0.001,0.0005,Transformer,,,,mean,False,3.0,0.0,5.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.6427, grad_fn=<NllLossBackward0>)",0.8043936114198795,0.8810078829830774,0.8038980377949567,tensor(0.6441),0.8111013602457218,0.9751025190392502,0.8109622411693057,0.8854900917675222,0.8116621360371915
20,32,,2,1000,50,0.001,0.0005,Transformer,,,,mean,False,3.0,0.0,5.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.6363, grad_fn=<NllLossBackward0>)",0.8060609606271573,0.8821123755334281,0.805735107646899,tensor(0.6378),0.8108819657744625,0.9748169838945828,0.8109622411693057,0.8853723404255319,0.8105583832778096
21,32,,2,1000,50,0.001,0.0005,Transformer,,,,mean,False,3.0,0.0,5.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.6293, grad_fn=<NllLossBackward0>)",0.808401099865442,0.883667235009946,0.8080760385849839,tensor(0.6310),0.8128565160157964,0.9746059544658494,0.8133982947624848,0.8867348293719294,0.8106726573150173
22,32,,2,1000,50,0.001,0.0005,Transformer,,,,mean,False,3.0,0.0,5.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.6217, grad_fn=<NllLossBackward0>)",0.8113262739132978,0.8856342423490194,0.8100913592499766,tensor(0.6236),0.815269855199649,0.9744111660366386,0.8163215590742996,0.8883881230116649,0.8110305367115427
23,32,,2,1000,50,0.001,0.0005,Transformer,,,,mean,False,3.0,0.0,5.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.6135, grad_fn=<NllLossBackward0>)",0.8134909027087112,0.8870744925790798,0.8119444313365234,tensor(0.6156),0.8194383501535761,0.9745517640254482,0.8209500609013398,0.8911807483802724,0.8133447876250628
24,32,,2,1000,50,0.001,0.0005,Transformer,,,,mean,False,3.0,0.0,5.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.6047, grad_fn=<NllLossBackward0>)",0.8167085941613526,0.8892541534110994,0.8132114049315043,tensor(0.6070),0.8225098727512067,0.97492795389049,0.8241169305724726,0.8932013201320133,0.8160319752200111
25,32,,2,1000,50,0.001,0.0005,Transformer,,,,mean,False,3.0,0.0,5.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.5953, grad_fn=<NllLossBackward0>)",0.8205405721640437,0.8918122983053238,0.8156003425734029,tensor(0.5977),0.8266783677051338,0.9750644883920896,0.8287454323995128,0.8959705030287068,0.8183462261335313
