epoch,hidden_channels,out_channels,num_layers,num_epoch,patience,lr,weight_decay,conv_type,eps,gamma,step_size,aggr,end,num_head,dropout,p,factor,eta_min,T_max,lr_scheduler,optimizer,type_model,scaler,dim_reduction,pca_threshold,train_loss,train_acc,train_f1,train_balanced_acc,val_loss,val_acc,val_precision,val_recall,val_f1,val_balanced_acc
16,64,,2,1000,50,0.001,0.0005,Transformer,,,,sum,False,2.0,0.0,10.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.4618, grad_fn=<NllLossBackward0>)",0.8346691628151875,0.901313032546445,0.8181139587435373,tensor(0.4683),0.838964458095656,0.9738543716615126,0.8438489646772229,0.9042025580788304,0.8192754757160949
17,64,,2,1000,50,0.001,0.0005,Transformer,,,,sum,False,2.0,0.0,10.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.4416, grad_fn=<NllLossBackward0>)",0.8386181477797929,0.9038967373316844,0.8203076539011583,tensor(0.4486),0.8451075032909171,0.9745881038815972,0.8501827040194885,0.908144678636482,0.8246498509059914
18,64,,2,1000,50,0.001,0.0005,Transformer,,,,sum,False,2.0,0.0,10.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.4222, grad_fn=<NllLossBackward0>)",0.8404902591704206,0.9050843327357226,0.8226488321983987,tensor(0.4296),0.8468626590609917,0.9751743375174338,0.8516443361753958,0.9092327698309493,0.827588172502709
19,64,,2,1000,50,0.001,0.0005,Transformer,,,,sum,False,2.0,0.0,10.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.4040, grad_fn=<NllLossBackward0>)",0.8405195109108992,0.9050405824363396,0.8251373699556809,tensor(0.4115),0.8468626590609917,0.9765034965034964,0.8504263093788064,0.9091145833333332,0.8324979229013237
20,64,,2,1000,50,0.001,0.0005,Transformer,,,,sum,False,2.0,0.0,10.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.3871, grad_fn=<NllLossBackward0>)",0.8422453635991342,0.9060927406014384,0.8289587454400291,tensor(0.3946),0.847082053532251,0.977310924369748,0.8499390986601705,0.909185667752443,0.8355655758201515
21,64,,2,1000,50,0.001,0.0005,Transformer,,,,sum,False,2.0,0.0,10.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.3717, grad_fn=<NllLossBackward0>)",0.8444977476159832,0.90750922124017,0.8321617706044468,tensor(0.3792),0.8488372093023255,0.977628635346756,0.8516443361753958,0.910298138263247,0.837521947337146
22,64,,2,1000,50,0.001,0.0005,Transformer,,,,sum,False,2.0,0.0,10.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.3579, grad_fn=<NllLossBackward0>)",0.8478616977710174,0.9096217005230508,0.8368931233393638,tensor(0.3652),0.8525669153137341,0.9777344837183412,0.8557856272838003,0.9127045985970382,0.8395925928913482
23,64,,2,1000,50,0.001,0.0005,Transformer,,,,sum,False,2.0,0.0,10.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.3456, grad_fn=<NllLossBackward0>)",0.8523372140642368,0.9124705229574144,0.8412009971998944,tensor(0.3527),0.8554190434401053,0.9783453636868408,0.8584652862362973,0.9144933177630724,0.8431399278863605
24,64,,2,1000,50,0.001,0.0005,Transformer,,,,sum,False,2.0,0.0,10.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.3349, grad_fn=<NllLossBackward0>)",0.8564617094717135,0.9150700105578344,0.8458343576539392,tensor(0.3415),0.8591487494515139,0.9795070617557464,0.8616321559074299,0.916796267496112,0.8491383737594544
25,64,,2,1000,50,0.001,0.0005,Transformer,,,,sum,False,2.0,0.0,10.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.3255, grad_fn=<NllLossBackward0>)",0.8598841631077049,0.9172082411504424,0.8502078482873994,tensor(0.3316),0.863317244405441,0.9804083885209712,0.8655298416565165,0.9193944882908528,0.8543984749121434
26,64,,2,1000,50,0.001,0.0005,Transformer,,,,sum,False,2.0,0.0,10.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.3174, grad_fn=<NllLossBackward0>)",0.8622535540864682,0.9186630969859227,0.854256594404812,tensor(0.3227),0.8650724001755156,0.9817780231916068,0.8662606577344701,0.920408955610198,0.8602826467480298
27,64,,2,1000,50,0.001,0.0005,Transformer,,,,sum,False,2.0,0.0,10.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.3104, grad_fn=<NllLossBackward0>)",0.8649447142104956,0.92030999188774,0.8590045677722226,tensor(0.3148),0.8685827117156648,0.9826541850220264,0.8694275274056029,0.922579811296368,0.8651773398617418
28,64,,2,1000,50,0.001,0.0005,Transformer,,,,sum,False,2.0,0.0,10.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.3043, grad_fn=<NllLossBackward0>)",0.8670215877844731,0.9215828330918374,0.8625004566630565,tensor(0.3080),0.871434839842036,0.9829810595662916,0.8723507917174178,0.9243675787299948,0.8677427247770312
29,64,,2,1000,50,0.001,0.0005,Transformer,,,,sum,False,2.0,0.0,10.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.2991, grad_fn=<NllLossBackward0>)",0.8711753349324285,0.9241735537190082,0.8670199462812025,tensor(0.3019),0.8745063624396665,0.9830462127426852,0.8757612667478685,0.9263076526668385,0.8694479622922565
30,64,,2,1000,50,0.001,0.0005,Transformer,,,,sum,False,2.0,0.0,10.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.2947, grad_fn=<NllLossBackward0>)",0.8741297607207629,0.926010626407827,0.8702226004068867,tensor(0.2966),0.8771390960947784,0.9831016625783592,0.8786845310596834,0.9279650115770516,0.870909594448164
31,64,,2,1000,50,0.001,0.0005,Transformer,,,,sum,False,2.0,0.0,10.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.2909, grad_fn=<NllLossBackward0>)",0.8768209208447902,0.9276646912307824,0.8739296103370249,tensor(0.2920),0.8799912242211496,0.9836867862969004,0.8813641900121802,0.9297186174996788,0.8744569294431762
32,64,,2,1000,50,0.001,0.0005,Transformer,,,,sum,False,2.0,0.0,10.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.2875, grad_fn=<NllLossBackward0>)",0.8789562978997251,0.9289857559636177,0.8762869145484478,tensor(0.2878),0.8817463799912242,0.984247691472026,0.8828258221680877,0.9307820726852446,0.8773952510398937
33,64,,2,1000,50,0.001,0.0005,Transformer,,,,sum,False,2.0,0.0,10.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.2844, grad_fn=<NllLossBackward0>)",0.8808869127713099,0.930175931959258,0.8785304716035495,tensor(0.2842),0.8813075910487056,0.9845024469820556,0.882095006090134,0.930489528459463,0.8781335957602988
34,64,,2,1000,50,0.001,0.0005,Transformer,,,,sum,False,2.0,0.0,10.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.2815, grad_fn=<NllLossBackward0>)",0.8824665067571521,0.9311443945573568,0.8805790335335293,tensor(0.2809),0.8835015357612989,0.9848073792729246,0.8842874543239951,0.9318444358875626,0.8803335726366113
35,64,,2,1000,50,0.001,0.0005,Transformer,,,,sum,False,2.0,0.0,10.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.2786, grad_fn=<NllLossBackward0>)",0.8843093664073013,0.9322878323546028,0.8821232396590554,tensor(0.2779),0.88635366388767,0.9851230727616986,0.88721071863581,0.933606767495514,0.8828989575519006
36,64,,2,1000,50,0.001,0.0005,Transformer,,,,sum,False,2.0,0.0,10.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.2757, grad_fn=<NllLossBackward0>)",0.8855671912478793,0.933071000855432,0.8829520926204011,tensor(0.2752),0.8865730583589293,0.9846029173419774,0.8879415347137637,0.9337773792750096,0.8810568600721136
37,64,,2,1000,50,0.001,0.0005,Transformer,,,,sum,False,2.0,0.0,10.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.2727, grad_fn=<NllLossBackward0>)",0.8865032469431932,0.9336479923387372,0.8838624409097032,tensor(0.2725),0.88635366388767,0.9843370240345666,0.8879415347137637,0.933657786885246,0.8799531073127318
38,64,,2,1000,50,0.001,0.0005,Transformer,,,,sum,False,2.0,0.0,10.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.2696, grad_fn=<NllLossBackward0>)",0.8878488270052068,0.9344704997607164,0.8855207652302837,tensor(0.2700),0.8865730583589293,0.9846029173419774,0.8879415347137637,0.9337773792750096,0.8810568600721136
39,64,,2,1000,50,0.001,0.0005,Transformer,,,,sum,False,2.0,0.0,10.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.2665, grad_fn=<NllLossBackward0>)",0.8887556309600422,0.9350103388758824,0.8874558273630981,tensor(0.2676),0.885695480473892,0.984586262844781,0.8869671132764921,0.9332308086633346,0.8805696493534778
40,64,,2,1000,50,0.001,0.0005,Transformer,,,,sum,False,2.0,0.0,10.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.2633, grad_fn=<NllLossBackward0>)",0.889954952319663,0.9357450297192048,0.8887726628555597,tensor(0.2653),0.8865730583589293,0.9848648648648648,0.8876979293544458,0.933760409993594,0.8820388101518366
41,64,,2,1000,50,0.001,0.0005,Transformer,,,,sum,False,2.0,0.0,10.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.2601, grad_fn=<NllLossBackward0>)",0.8914760428245481,0.9366786140979688,0.8902682438793831,tensor(0.2631),0.8887670030715226,0.9849056603773584,0.8901339829476248,0.9351247600767756,0.8832568369484262
42,64,,2,1000,50,0.001,0.0005,Transformer,,,,sum,False,2.0,0.0,10.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.2570, grad_fn=<NllLossBackward0>)",0.8920903293745978,0.9370574485147332,0.8907396057780055,tensor(0.2611),0.8903027643703378,0.9849340866290018,0.8918392204628501,0.9360777294809512,0.8841094557060387
